UniqueID	Feature_Name	Feature_Type	KEGG_ID	Pathway_ID	Pathway_Name
Gene_16	Grm1	Gene	rno:24414	path:rno04068	FoxO signaling pathway
Gene_16	Grm1	Gene	rno:24414	path:rno04072	Phospholipase D signaling pathway
Gene_16	Grm1	Gene	rno:24414	path:rno04080	Neuroactive ligand-receptor interaction
Gene_16	Grm1	Gene	rno:24414	path:rno04540	Gap junction
Gene_16	Grm1	Gene	rno:24414	path:rno04720	Long-term potentiation
Gene_16	Grm1	Gene	rno:24414	path:rno04723	Retrograde endocannabinoid signaling
Gene_16	Grm1	Gene	rno:24414	path:rno04724	Glutamatergic synapse
Gene_16	Grm1	Gene	rno:24414	path:rno04730	Long-term depression
Gene_16	Grm1	Gene	rno:24414	path:rno04742	Taste transduction
Gene_16	Grm1	Gene	rno:24414	path:rno04915	Estrogen signaling pathway
Gene_16	Grm1	Gene	rno:24414	path:rno05017	Spinocerebellar ataxia
Gene_16	Grm1	Gene	rno:24414	path:rno05022	Pathways of neurodegeneration
Gene_17	Shprh	Gene	rno:308282	NA	NA
Gene_18	Fbxo30	Gene	rno:308283	NA	NA
Gene_19	Epm2a	Gene	rno:114005	NA	NA
Gene_20	Utrn	Gene	rno:25600	NA	NA
Gene_21	Sf3b5	Gene	rno:680891	path:rno03040	Spliceosome
Gene_22	Plagl1	Gene	rno:25157	NA	NA
Gene_23	Ltv1	Gene	rno:361452	NA	NA
Gene_24	Phactr2	Gene	rno:308291	NA	NA
Gene_25	Fuca2	Gene	rno:292485	path:rno00511	Other glycan degradation
Gene_25	Fuca2	Gene	rno:292485	path:rno04142	Lysosome
Gene_26	Pex3	Gene	rno:83519	path:rno04146	Peroxisome
Gene_27	Adat2	Gene	rno:361453	NA	NA
Gene_28	Aig1	Gene	rno:292486	NA	NA
Gene_29	Hivep2	Gene	rno:29721	NA	NA
Gene_30	Adgrg6	Gene	rno:308376	NA	NA
Gene_31	Vta1	Gene	rno:292640	path:rno04144	Endocytosis
Gene_32	AABR07000385.2	Gene	NA	NA	NA
Gene_33	Cited2	Gene	rno:114490	path:rno04137	Mitophagy
Gene_34	Heca	Gene	rno:308624	NA	NA
Gene_35	Abracl	Gene	rno:685045	NA	NA
Gene_36	Reps1	Gene	rno:292944	NA	NA
Gene_37	Ccdc28a	Gene	rno:361454	NA	NA
Gene_38	Nhsl1	Gene	rno:308631	NA	NA
Gene_39	Hebp2	Gene	rno:308632	NA	NA
Gene_40	Arfgef3	Gene	rno:292947	NA	NA
Gene_41	Perp	Gene	rno:292949	path:rno04115	p53 signaling pathway
Gene_42	Tnfaip3	Gene	rno:683206	path:rno04064	NF-kappa B signaling pathway
Gene_42	Tnfaip3	Gene	rno:683206	path:rno04217	Necroptosis
Gene_42	Tnfaip3	Gene	rno:683206	path:rno04621	NOD-like receptor signaling pathway
Gene_42	Tnfaip3	Gene	rno:683206	path:rno04657	IL-17 signaling pathway
Gene_42	Tnfaip3	Gene	rno:683206	path:rno04668	TNF signaling pathway
Gene_42	Tnfaip3	Gene	rno:683206	path:rno05162	Measles
Gene_42	Tnfaip3	Gene	rno:683206	path:rno05169	Epstein-Barr virus infection
Gene_43	Ifngr1	Gene	rno:116465	path:rno04060	Cytokine-cytokine receptor interaction
Gene_43	Ifngr1	Gene	rno:116465	path:rno04066	HIF-1 signaling pathway
Gene_43	Ifngr1	Gene	rno:116465	path:rno04217	Necroptosis
Gene_43	Ifngr1	Gene	rno:116465	path:rno04380	Osteoclast differentiation
Gene_43	Ifngr1	Gene	rno:116465	path:rno04630	JAK-STAT signaling pathway
Gene_43	Ifngr1	Gene	rno:116465	path:rno04650	Natural killer cell mediated cytotoxicity
Gene_43	Ifngr1	Gene	rno:116465	path:rno04658	Th1 and Th2 cell differentiation
Gene_43	Ifngr1	Gene	rno:116465	path:rno04659	Th17 cell differentiation
Gene_43	Ifngr1	Gene	rno:116465	path:rno05140	Leishmaniasis
Gene_43	Ifngr1	Gene	rno:116465	path:rno05142	Chagas disease
Gene_43	Ifngr1	Gene	rno:116465	path:rno05145	Toxoplasmosis
Gene_43	Ifngr1	Gene	rno:116465	path:rno05152	Tuberculosis
Gene_43	Ifngr1	Gene	rno:116465	path:rno05164	Influenza A
Gene_43	Ifngr1	Gene	rno:116465	path:rno05167	Kaposi sarcoma-associated herpesvirus infection
Gene_43	Ifngr1	Gene	rno:116465	path:rno05168	Herpes simplex virus 1 infection
Gene_43	Ifngr1	Gene	rno:116465	path:rno05200	Pathways in cancer
Gene_43	Ifngr1	Gene	rno:116465	path:rno05235	PD-L1 expression and PD-1 checkpoint pathway in cancer
Gene_43	Ifngr1	Gene	rno:116465	path:rno05321	Inflammatory bowel disease
Gene_44	Il22ra2	Gene	rno:444986	path:rno04630	JAK-STAT signaling pathway
Gene_45	Slc35d3	Gene	rno:308717	NA	NA
Gene_46	Pex7	Gene	rno:308718	path:rno04146	Peroxisome
Gene_47	Map3k5	Gene	rno:365057	path:rno01524	Platinum drug resistance
Gene_47	Map3k5	Gene	rno:365057	path:rno04010	MAPK signaling pathway
Gene_47	Map3k5	Gene	rno:365057	path:rno04071	Sphingolipid signaling pathway
Gene_47	Map3k5	Gene	rno:365057	path:rno04141	Protein processing in endoplasmic reticulum
Gene_47	Map3k5	Gene	rno:365057	path:rno04210	Apoptosis
Gene_47	Map3k5	Gene	rno:365057	path:rno04530	Tight junction
Gene_47	Map3k5	Gene	rno:365057	path:rno04668	TNF signaling pathway
Gene_47	Map3k5	Gene	rno:365057	path:rno04714	Thermogenesis
Gene_47	Map3k5	Gene	rno:365057	path:rno04722	Neurotrophin signaling pathway
Gene_47	Map3k5	Gene	rno:365057	path:rno04932	Non-alcoholic fatty liver disease
Gene_47	Map3k5	Gene	rno:365057	path:rno05010	Alzheimer disease
Gene_47	Map3k5	Gene	rno:365057	path:rno05012	Parkinson disease
Gene_47	Map3k5	Gene	rno:365057	path:rno05014	Amyotrophic lateral sclerosis
Gene_47	Map3k5	Gene	rno:365057	path:rno05016	Huntington disease
Gene_47	Map3k5	Gene	rno:365057	path:rno05017	Spinocerebellar ataxia
Gene_47	Map3k5	Gene	rno:365057	path:rno05022	Pathways of neurodegeneration
Gene_47	Map3k5	Gene	rno:365057	path:rno05417	Lipid and atherosclerosis
Gene_47	Map3k5	Gene	rno:365057	path:rno05418	Fluid shear stress and atherosclerosis
Gene_48	Map7	Gene	rno:293016	NA	NA
Gene_49	Bclaf1	Gene	rno:293017	NA	NA
Gene_49	Mtfr2	Gene	rno:100911069	NA	NA
Gene_50	Pde7b	Gene	rno:140929	path:rno00230	Purine metabolism
Gene_50	Pde7b	Gene	rno:140929	path:rno01100	Metabolic pathways
Gene_50	Pde7b	Gene	rno:140929	path:rno05032	Morphine addiction
Gene_51	Ahi1	Gene	rno:308923	NA	NA
Gene_52	Myb	Gene	rno:83708	NA	NA
Gene_53	Hbs1l	Gene	rno:293408	path:rno03015	mRNA surveillance pathway
Gene_53	Hbs1l	Gene	rno:293408	path:rno05134	Legionellosis
Gene_54	Ptprk	Gene	rno:360302	NA	NA
Gene_55	LOC103690149	Gene	NA	NA	NA
Gene_56	Lama2	Gene	rno:309368	path:rno04151	PI3K-Akt signaling pathway
Gene_56	Lama2	Gene	rno:309368	path:rno04510	Focal adhesion
Gene_56	Lama2	Gene	rno:309368	path:rno04512	ECM-receptor interaction
Gene_56	Lama2	Gene	rno:309368	path:rno05145	Toxoplasmosis
Gene_56	Lama2	Gene	rno:309368	path:rno05146	Amoebiasis
Gene_56	Lama2	Gene	rno:309368	path:rno05165	Human papillomavirus infection
Gene_56	Lama2	Gene	rno:309368	path:rno05200	Pathways in cancer
Gene_56	Lama2	Gene	rno:309368	path:rno05222	Small cell lung cancer
Gene_56	Lama2	Gene	rno:309368	path:rno05410	Hypertrophic cardiomyopathy
Gene_56	Lama2	Gene	rno:309368	path:rno05412	Arrhythmogenic right ventricular cardiomyopathy
Gene_56	Lama2	Gene	rno:309368	path:rno05414	Dilated cardiomyopathy
Gene_56	Lama2	Gene	rno:309368	path:rno05416	Viral myocarditis
Gene_57	Arhgap18	Gene	rno:293947	NA	NA
Gene_58	L3mbtl3	Gene	rno:309550	NA	NA
Gene_59	LOC100360791	Gene	NA	NA	NA
Gene_60	Tmem200a	Gene	rno:498987	NA	NA
Gene_61	Epb41l2	Gene	rno:309557	NA	NA
Gene_62	Akap7	Gene	rno:361458	NA	NA
Gene_63	Arg1	Gene	rno:29221	path:rno00220	Arginine biosynthesis
Gene_63	Arg1	Gene	rno:29221	path:rno00330	Arginine and proline metabolism
Gene_63	Arg1	Gene	rno:29221	path:rno01100	Metabolic pathways
Gene_63	Arg1	Gene	rno:29221	path:rno01230	Biosynthesis of amino acids
Gene_63	Arg1	Gene	rno:29221	path:rno05146	Amoebiasis
Gene_64	Med23	Gene	rno:309565	NA	NA
Gene_65	Enpp3	Gene	rno:54410	path:rno00230	Purine metabolism
Gene_65	Enpp3	Gene	rno:54410	path:rno00240	Pyrimidine metabolism
Gene_65	Enpp3	Gene	rno:54410	path:rno00500	Starch and sucrose metabolism
Gene_65	Enpp3	Gene	rno:54410	path:rno00740	Riboflavin metabolism
Gene_65	Enpp3	Gene	rno:54410	path:rno00760	Nicotinate and nicotinamide metabolism
Gene_65	Enpp3	Gene	rno:54410	path:rno00770	Pantothenate and CoA biosynthesis
Gene_65	Enpp3	Gene	rno:54410	path:rno01100	Metabolic pathways
Gene_66	Enpp1	Gene	rno:85496	path:rno00230	Purine metabolism
Gene_66	Enpp1	Gene	rno:85496	path:rno00240	Pyrimidine metabolism
Gene_66	Enpp1	Gene	rno:85496	path:rno00500	Starch and sucrose metabolism
Gene_66	Enpp1	Gene	rno:85496	path:rno00740	Riboflavin metabolism
Gene_66	Enpp1	Gene	rno:85496	path:rno00760	Nicotinate and nicotinamide metabolism
Gene_66	Enpp1	Gene	rno:85496	path:rno00770	Pantothenate and CoA biosynthesis
Gene_66	Enpp1	Gene	rno:85496	path:rno01100	Metabolic pathways
Gene_67	Ctgf	Gene	rno:64032	path:rno04371	Apelin signaling pathway
Gene_67	Ctgf	Gene	rno:64032	path:rno04390	Hippo signaling pathway
Gene_68	Moxd1	Gene	rno:294119	NA	NA
Gene_69	Stx7	Gene	rno:60466	path:rno04130	SNARE interactions in vesicular transport
Gene_69	Stx7	Gene	rno:60466	path:rno04145	Phagosome
Gene_70	Slc18b1	Gene	rno:309570	NA	NA
Gene_71	LOC100360573	Gene	NA	NA	NA
Gene_71	Rps12	Gene	rno:65139	path:rno03010	Ribosome
Gene_71	Rps12	Gene	rno:65139	path:rno05171	Coronavirus disease
Gene_72	Eya4	Gene	rno:292172	NA	NA
Gene_73	Tbpl1	Gene	rno:689030	path:rno03022	Basal transcription factors
Gene_73	Tbpl1	Gene	rno:689030	path:rno05016	Huntington disease
Gene_73	Tbpl1	Gene	rno:689030	path:rno05017	Spinocerebellar ataxia
Gene_73	Tbpl1	Gene	rno:689030	path:rno05165	Human papillomavirus infection
Gene_73	Tbpl1	Gene	rno:689030	path:rno05166	Human T-cell leukemia virus 1 infection
Gene_73	Tbpl1	Gene	rno:689030	path:rno05203	Viral carcinogenesis
Gene_74	Slc2a12	Gene	rno:308028	NA	NA
Gene_75	Sgk1	Gene	rno:29517	path:rno04068	FoxO signaling pathway
Gene_75	Sgk1	Gene	rno:29517	path:rno04150	mTOR signaling pathway
Gene_75	Sgk1	Gene	rno:29517	path:rno04151	PI3K-Akt signaling pathway
Gene_75	Sgk1	Gene	rno:29517	path:rno04960	Aldosterone-regulated sodium reabsorption
Gene_76	AABR07000733.1	Gene	NA	NA	NA
Gene_77	Clvs2	Gene	rno:361459	NA	NA
Gene_78	LOC102551716	Gene	NA	NA	NA
Gene_79	Rnf217	Gene	rno:292188	NA	NA
Gene_80	Tpd52l1	Gene	rno:689256	NA	NA
Gene_81	Hddc2	Gene	rno:361462	NA	NA
Gene_82	Hey2	Gene	rno:155430	path:rno04330	Notch signaling pathway
Gene_82	Hey2	Gene	rno:155430	path:rno05165	Human papillomavirus infection
Gene_82	Hey2	Gene	rno:155430	path:rno05200	Pathways in cancer
Gene_82	Hey2	Gene	rno:155430	path:rno05224	Breast cancer
Gene_83	Ncoa7	Gene	rno:498995	NA	NA
Gene_84	Hint3	Gene	rno:246769	NA	NA
Gene_85	Trmt11	Gene	rno:378794	NA	NA
Gene_86	Rnf146	Gene	rno:308051	NA	NA
Gene_87	Echdc1	Gene	rno:361465	path:rno00640	Propanoate metabolism
Gene_87	Echdc1	Gene	rno:361465	path:rno01100	Metabolic pathways
Gene_88	Kiaa0408L	Gene	NA	NA	NA
Gene_89	Soga3	Gene	rno:292199	NA	NA
Gene_90	Ccdc127	Gene	rno:308060	NA	NA
Gene_91	Sdha	Gene	rno:157074	path:rno00020	Citrate cycle (TCA cycle)
Gene_91	Sdha	Gene	rno:157074	path:rno00190	Oxidative phosphorylation
Gene_91	Sdha	Gene	rno:157074	path:rno01100	Metabolic pathways
Gene_91	Sdha	Gene	rno:157074	path:rno01200	Carbon metabolism
Gene_91	Sdha	Gene	rno:157074	path:rno04714	Thermogenesis
Gene_91	Sdha	Gene	rno:157074	path:rno04932	Non-alcoholic fatty liver disease
Gene_91	Sdha	Gene	rno:157074	path:rno05010	Alzheimer disease
Gene_91	Sdha	Gene	rno:157074	path:rno05012	Parkinson disease
Gene_91	Sdha	Gene	rno:157074	path:rno05014	Amyotrophic lateral sclerosis
Gene_91	Sdha	Gene	rno:157074	path:rno05016	Huntington disease
Gene_91	Sdha	Gene	rno:157074	path:rno05020	Prion disease
Gene_91	Sdha	Gene	rno:157074	path:rno05022	Pathways of neurodegeneration
Gene_91	Sdha	Gene	rno:157074	path:rno05415	Diabetic cardiomyopathy
Gene_92	Pdcd6	Gene	rno:308061	NA	NA
Gene_93	Exoc3	Gene	rno:252881	NA	NA
Gene_94	Slc9a3	Gene	rno:24784	path:rno04964	Proximal tubule bicarbonate reclamation
Gene_94	Slc9a3	Gene	rno:24784	path:rno04974	Protein digestion and absorption
Gene_94	Slc9a3	Gene	rno:24784	path:rno04976	Bile secretion
Gene_94	Slc9a3	Gene	rno:24784	path:rno04978	Mineral absorption
Gene_95	Tppp	Gene	rno:361466	NA	NA
Gene_96	Brd9	Gene	rno:308067	NA	NA
Gene_97	Trip13	Gene	rno:292206	NA	NA
Gene_98	Nkd2	Gene	rno:308068	path:rno04310	Wnt signaling pathway
Gene_98	Nkd2	Gene	rno:308068	path:rno04390	Hippo signaling pathway
Gene_99	Slc12a7	Gene	rno:308069	path:rno04966	Collecting duct acid secretion
Gene_100	Clptm1l	Gene	rno:316916	NA	NA
Gene_101	Lpcat1	Gene	rno:361467	path:rno00564	Glycerophospholipid metabolism
Gene_101	Lpcat1	Gene	rno:361467	path:rno00565	Ether lipid metabolism
Gene_101	Lpcat1	Gene	rno:361467	path:rno01100	Metabolic pathways
Gene_102	Irx2	Gene	rno:306657	NA	NA
Gene_103	Irx1	Gene	rno:306659	NA	NA
Gene_104	Adamts16	Gene	rno:306664	NA	NA
Gene_105	Ice1	Gene	rno:306665	NA	NA
Gene_106	LOC679881	Gene	NA	NA	NA
Gene_107	Med10	Gene	rno:290939	NA	NA
Gene_108	Ube2ql1	Gene	rno:679949	path:rno04120	Ubiquitin mediated proteolysis
Gene_109	Nsun2	Gene	rno:361191	NA	NA
Gene_110	Srd5a1	Gene	rno:24950	path:rno00140	Steroid hormone biosynthesis
Gene_111	Tent4a	Gene	NA	NA	NA
Gene_112	AABR07001064.1	Gene	NA	NA	NA
Gene_113	AABR07001068.1	Gene	NA	NA	NA
Gene_114	Adcy2	Gene	rno:81636	path:rno00230	Purine metabolism
Gene_114	Adcy2	Gene	rno:81636	path:rno01100	Metabolic pathways
Gene_114	Adcy2	Gene	rno:81636	path:rno01522	Endocrine resistance
Gene_114	Adcy2	Gene	rno:81636	path:rno04015	Rap1 signaling pathway
Gene_114	Adcy2	Gene	rno:81636	path:rno04020	Calcium signaling pathway
Gene_114	Adcy2	Gene	rno:81636	path:rno04022	cGMP-PKG signaling pathway
Gene_114	Adcy2	Gene	rno:81636	path:rno04024	cAMP signaling pathway
Gene_114	Adcy2	Gene	rno:81636	path:rno04062	Chemokine signaling pathway
Gene_114	Adcy2	Gene	rno:81636	path:rno04072	Phospholipase D signaling pathway
Gene_114	Adcy2	Gene	rno:81636	path:rno04114	Oocyte meiosis
Gene_114	Adcy2	Gene	rno:81636	path:rno04211	Longevity regulating pathway
Gene_114	Adcy2	Gene	rno:81636	path:rno04213	Longevity regulating pathway
Gene_114	Adcy2	Gene	rno:81636	path:rno04261	Adrenergic signaling in cardiomyocytes
Gene_114	Adcy2	Gene	rno:81636	path:rno04270	Vascular smooth muscle contraction
Gene_114	Adcy2	Gene	rno:81636	path:rno04371	Apelin signaling pathway
Gene_114	Adcy2	Gene	rno:81636	path:rno04540	Gap junction
Gene_114	Adcy2	Gene	rno:81636	path:rno04611	Platelet activation
Gene_114	Adcy2	Gene	rno:81636	path:rno04713	Circadian entrainment
Gene_114	Adcy2	Gene	rno:81636	path:rno04714	Thermogenesis
Gene_114	Adcy2	Gene	rno:81636	path:rno04723	Retrograde endocannabinoid signaling
Gene_114	Adcy2	Gene	rno:81636	path:rno04724	Glutamatergic synapse
Gene_114	Adcy2	Gene	rno:81636	path:rno04725	Cholinergic synapse
Gene_114	Adcy2	Gene	rno:81636	path:rno04727	GABAergic synapse
Gene_114	Adcy2	Gene	rno:81636	path:rno04750	Inflammatory mediator regulation of TRP channels
Gene_114	Adcy2	Gene	rno:81636	path:rno04911	Insulin secretion
Gene_114	Adcy2	Gene	rno:81636	path:rno04912	GnRH signaling pathway
Gene_114	Adcy2	Gene	rno:81636	path:rno04913	Ovarian steroidogenesis
Gene_114	Adcy2	Gene	rno:81636	path:rno04914	Progesterone-mediated oocyte maturation
Gene_114	Adcy2	Gene	rno:81636	path:rno04915	Estrogen signaling pathway
Gene_114	Adcy2	Gene	rno:81636	path:rno04916	Melanogenesis
Gene_114	Adcy2	Gene	rno:81636	path:rno04918	Thyroid hormone synthesis
Gene_114	Adcy2	Gene	rno:81636	path:rno04921	Oxytocin signaling pathway
Gene_114	Adcy2	Gene	rno:81636	path:rno04922	Glucagon signaling pathway
Gene_114	Adcy2	Gene	rno:81636	path:rno04923	Regulation of lipolysis in adipocytes
Gene_114	Adcy2	Gene	rno:81636	path:rno04925	Aldosterone synthesis and secretion
Gene_114	Adcy2	Gene	rno:81636	path:rno04926	Relaxin signaling pathway
Gene_114	Adcy2	Gene	rno:81636	path:rno04927	Cortisol synthesis and secretion
Gene_114	Adcy2	Gene	rno:81636	path:rno04928	Parathyroid hormone synthesis, secretion and action
Gene_114	Adcy2	Gene	rno:81636	path:rno04934	Cushing syndrome
Gene_114	Adcy2	Gene	rno:81636	path:rno04935	Growth hormone synthesis, secretion and action
Gene_114	Adcy2	Gene	rno:81636	path:rno04970	Salivary secretion
Gene_114	Adcy2	Gene	rno:81636	path:rno04971	Gastric acid secretion
Gene_114	Adcy2	Gene	rno:81636	path:rno04972	Pancreatic secretion
Gene_114	Adcy2	Gene	rno:81636	path:rno04976	Bile secretion
Gene_114	Adcy2	Gene	rno:81636	path:rno05032	Morphine addiction
Gene_114	Adcy2	Gene	rno:81636	path:rno05163	Human cytomegalovirus infection
Gene_114	Adcy2	Gene	rno:81636	path:rno05166	Human T-cell leukemia virus 1 infection
Gene_114	Adcy2	Gene	rno:81636	path:rno05200	Pathways in cancer
Gene_114	Adcy2	Gene	rno:81636	path:rno05414	Dilated cardiomyopathy
Gene_115	Fastkd3	Gene	rno:290946	NA	NA
Gene_116	Mtrr	Gene	rno:290947	NA	NA
Gene_117	LOC680200	Gene	NA	NA	NA
Gene_118	AABR07001099.2	Gene	NA	NA	NA
Gene_119	AABR07001099.1	Gene	NA	NA	NA
Gene_120	LOC102549842	Gene	NA	NA	NA
Gene_121	LOC102547287	Gene	NA	NA	NA
Gene_122	AABR07001100.1	Gene	NA	NA	NA
Gene_123	LOC102551340	Gene	NA	NA	NA
Gene_124	LOC501406	Gene	NA	NA	NA
Gene_125	Ppp1r14c	Gene	rno:171010	NA	NA
Gene_126	Plekhg1	Gene	rno:679812	NA	NA
Gene_127	Mthfd1l	Gene	rno:361472	path:rno00670	One carbon pool by folate
Gene_127	Mthfd1l	Gene	rno:361472	path:rno01100	Metabolic pathways
Gene_127	Mthfd1l	Gene	rno:361472	path:rno01240	Biosynthesis of cofactors
Gene_128	Akap12	Gene	rno:83425	NA	NA
Gene_129	Zbtb2	Gene	rno:308126	NA	NA
Gene_130	Rmnd1	Gene	rno:292268	NA	NA
Gene_131	Armt1	Gene	rno:292267	NA	NA
Gene_132	Ccdc170	Gene	rno:292266	NA	NA
Gene_133	Syne1	Gene	rno:499010	NA	NA
Gene_134	Fbxo5	Gene	rno:292263	path:rno04114	Oocyte meiosis
Gene_135	Mtrf1l	Gene	rno:361473	NA	NA
Gene_136	Rgs17	Gene	rno:308118	NA	NA
Gene_137	AABR07001432.1	Gene	NA	NA	NA
Gene_138	Ipcef1	Gene	rno:361474	NA	NA
Gene_139	Cnksr3	Gene	rno:308113	NA	NA
Gene_140	AABR07001435.1	Gene	NA	NA	NA
Gene_141	Scaf8	Gene	rno:245926	NA	NA
Gene_142	AABR07001444.1	Gene	NA	NA	NA
Gene_143	Tiam2	Gene	rno:100362710	NA	NA
Gene_144	Tfb1m	Gene	rno:308140	NA	NA
Gene_145	Arid1b	Gene	rno:282546	path:rno04714	Thermogenesis
Gene_145	Arid1b	Gene	rno:282546	path:rno05225	Hepatocellular carcinoma
Gene_146	Tmem242	Gene	rno:292228	NA	NA
Gene_147	Zdhhc14	Gene	rno:499014	NA	NA
Gene_148	Snx9	Gene	rno:683687	path:rno05132	Salmonella infection
Gene_149	Synj2	Gene	rno:84018	path:rno00562	Inositol phosphate metabolism
Gene_149	Synj2	Gene	rno:84018	path:rno01100	Metabolic pathways
Gene_149	Synj2	Gene	rno:84018	path:rno04070	Phosphatidylinositol signaling system
Gene_150	Serac1	Gene	rno:499015	NA	NA
Gene_151	Gtf2h5	Gene	rno:502227	path:rno03022	Basal transcription factors
Gene_151	Gtf2h5	Gene	rno:502227	path:rno03420	Nucleotide excision repair
Gene_152	Tulp4	Gene	rno:499016	NA	NA
Gene_153	Tmem181	Gene	rno:502228	NA	NA
Gene_154	Dynlt1	Gene	rno:83462	path:rno05132	Salmonella infection
Gene_155	Sytl3	Gene	rno:499017	NA	NA
Gene_156	Ezr	Gene	rno:54319	path:rno04530	Tight junction
Gene_156	Ezr	Gene	rno:54319	path:rno04670	Leukocyte transendothelial migration
Gene_156	Ezr	Gene	rno:54319	path:rno04810	Regulation of actin cytoskeleton
Gene_156	Ezr	Gene	rno:54319	path:rno04971	Gastric acid secretion
Gene_156	Ezr	Gene	rno:54319	path:rno05205	Proteoglycans in cancer
Gene_156	Ezr	Gene	rno:54319	path:rno05206	MicroRNAs in cancer
Gene_157	Rsph3	Gene	rno:361476	NA	NA
Gene_158	RGD1560015	Gene	rno:499018	path:rno00062	Fatty acid elongation
Gene_158	RGD1560015	Gene	rno:499018	path:rno01040	Biosynthesis of unsaturated fatty acids
Gene_158	RGD1560015	Gene	rno:499018	path:rno01100	Metabolic pathways
Gene_158	RGD1560015	Gene	rno:499018	path:rno01212	Fatty acid metabolism
Gene_159	Fndc1	Gene	rno:308099	NA	NA
Gene_160	Sod2	Gene	rno:24787	path:rno04068	FoxO signaling pathway
Gene_160	Sod2	Gene	rno:24787	path:rno04146	Peroxisome
Gene_160	Sod2	Gene	rno:24787	path:rno04211	Longevity regulating pathway
Gene_160	Sod2	Gene	rno:24787	path:rno04213	Longevity regulating pathway
Gene_160	Sod2	Gene	rno:24787	path:rno05016	Huntington disease
Gene_160	Sod2	Gene	rno:24787	path:rno05417	Lipid and atherosclerosis
Gene_161	Wtap	Gene	rno:499020	NA	NA
Gene_162	Acat2	Gene	rno:308100	path:rno00071	Fatty acid degradation
Gene_162	Acat2	Gene	rno:308100	path:rno00072	Synthesis and degradation of ketone bodies
Gene_162	Acat2	Gene	rno:308100	path:rno00280	Valine, leucine and isoleucine degradation
Gene_162	Acat2	Gene	rno:308100	path:rno00310	Lysine degradation
Gene_162	Acat2	Gene	rno:308100	path:rno00380	Tryptophan metabolism
Gene_162	Acat2	Gene	rno:308100	path:rno00620	Pyruvate metabolism
Gene_162	Acat2	Gene	rno:308100	path:rno00630	Glyoxylate and dicarboxylate metabolism
Gene_162	Acat2	Gene	rno:308100	path:rno00640	Propanoate metabolism
Gene_162	Acat2	Gene	rno:308100	path:rno00650	Butanoate metabolism
Gene_162	Acat2	Gene	rno:308100	path:rno00900	Terpenoid backbone biosynthesis
Gene_162	Acat2	Gene	rno:308100	path:rno01100	Metabolic pathways
Gene_162	Acat2	Gene	rno:308100	path:rno01200	Carbon metabolism
Gene_162	Acat2	Gene	rno:308100	path:rno01212	Fatty acid metabolism
Gene_162	Acat2	Gene	rno:308100	path:rno04975	Fat digestion and absorption
Gene_163	Acat2l1	Gene	rno:365096	path:rno00071	Fatty acid degradation
Gene_163	Acat2l1	Gene	rno:365096	path:rno00072	Synthesis and degradation of ketone bodies
